Label,Id,timeset,known,blockriccimaxmod,blockriccifinal,Degree,Weighted.Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,clustering,triangles,eigencentrality,Symbol,Full.Name,Gene_Name,Description,Gene_Family,AHD.2.0.hormone.annotations,GO.annotations,SideInfo_Update,SideInfo_Label,NodeAnno_Update,Plant.hormone.signal.transduction,Brassinosteroid.biosynthesis,Plant.pathogen.interaction,MAPK.signaling.pathway,Phosphatidylinositol.signaling.system,Basal.transcription.factors,Mismatch.repair,DNA.replication,Nucleotide.excision.repair,RNA.polymerase,Spliceosome,RNA.transport,RNA.degradation,Ribosome,Endocytosis,Protein.processing.in.endoplasmic.reticulum,Ubiquitin.mediated.proteolysis,Fructose.and.mannose.metabolism,Amino.sugar.and.nucleotide.sugar.metabolism,Biosynthesis.of.unsaturated.fatty.acids,alpha.Linolenic.acid.metabolism,Fatty.acid.degradation,Valine..leucine.and.isoleucine.degradation,Peroxisome,Cysteine.and.methionine.metabolism,Pyrimidine.metabolism,Purine.metabolism,Circadian.rhythm,Citrate.cycle,Pyruvate.metabolism,Glycolysis.Gluconeogenesis,Abscisic_acid,Auxin,Brassinosteroid,Cytokinin,Ethylene,Gibberellin,Jasmonic_acid,Salicylic_acid,Transcription_factor,Transporter,Stress,Abiotic_biotic_stimulus
AT1G01510,1014,NA,0,169,401,4,4,10,0.225925,0.238822,4848.719971,0.00011,0.00011,108,0.000442,0,0,0,0.007635,ANGUSTIFOLIA (AN),DETORQUEO (DOQ);ANGUSTIFOLIA (AN),NA,Encodes a homolog of human CtBP.  Mutant has longer and thicker leaves than wild type. Involved in controlling polar cell expansion in the leaf width direction. It has been shown to localize to cytosolic stress granules and is involved in their formation.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AT1G01520,2641,NA,0,162,382,1,1,10,0.181549,0.188796,0,3.00E-06,3.00E-06,4,0.000158,0,0,0,0.001307,ALTERED SEED GERMINATION 4 (ASG4),REVEILLE 3 (REV3);ALTERED SEED GERMINATION 4 (ASG4),NA,RVE3 is one of eleven homologous MYB-like transcription factors in Arabidopsis and a member of the RVE8 clade. Plays a minor role in clock regulation.,NA,NA,NA,Transcription_factor,Transcription_factor,Transcription_factor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AT1G01620,405,NA,0,8,12,7,7,10,0.220086,0.247296,2532.995356,0.029111,0.029111,3,0.000419,0,0.47619,10,0.073159,PLASMA MEMBRANE INTRINSIC PROTEIN 1C (PIP1C),PLASMA MEMBRANE INTRINSIC PROTEIN 1C (PIP1C); (TMP-B);PLASMA MEMBRANE INTRINSIC PROTEIN 1;3 (PIP1;3),NULL,a member of the plasma membrane intrinsic protein subfamily PIP1. localizes to the plasma membrane and exhibits water transport activity in Xenopus oocyte. expressed ubiquitously and protein level decreases slightly during leaf development.,MIP family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AT1G01630,1024,NA,0,3,403,10,10,9,0.255172,0.275237,8108.876991,0.000273,0.000273,73,0.000712,0,0.088889,4,0.030683,,,NA,Sec14p-like phosphatidylinositol transfer family protein;(source:Araport11),NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AT1G01640,2115,NA,0,2,580,2,2,11,0.175145,0.181396,2392,2.00E-06,2.00E-06,15,3.00E-04,0,0,0,0.001485,,,NA,"Putative role in flower development.  Comparison of SALK_011721C to Columbia wild type resulted in a trend toward earlier flowering in the mutant (P=0.1) (Stapleton and Woodruff 2009, personal communication).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AT1G01800,1700,NA,0,230,523,1,1,11,0.204076,0.214481,0,8.00E-06,8.00E-06,2,0.000135,0,0,0,0.002118,,,NA,NAD(P)-binding Rossmann-fold superfamily protein;(source:Araport11),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AT1G01910,62,NA,0,22,42,41,41,11,0.219985,0.24626,81724.72869,0.011223,0.011223,19,0.004492,0,0.00122,1,0.053611,GUIDED ENTRY OF TAIL-ANCHORED PROTEIN 3A (GET3A),GUIDED ENTRY OF TAIL-ANCHORED PROTEIN 3A (GET3A);GUIDED ENTRY OF TAIL-ANCHORED PROTEIN 3A (ATGET3A),NA,P-loop containing nucleoside triphosphate hydrolases superfamily protein;(source:Araport11),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AT1G02090,1454,NA,0,207,489,1,1,11,0.160281,0.165163,0,0,0,6,0.000174,0,0,0,0.000609,FUSCA 5 (FUS5),FUSCA 5 (FUS5);ARABIDOPSIS THALIANA COP9 SIGNALOSOME SUBUNIT 7 (ATCSN7);CONSTITUTIVE PHOTOMORPHOGENIC 15 (COP15);COP9 SIGNALOSOME SUBUNIT 7 (CSN7),NA,encodes a phosphoprotein that is a subunit of the COP9 signalosome. Mutants exhibit constitutive photomorphogenic phenotype.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AT1G02140,227,NA,0,9,130,6,6,10,0.242403,0.262131,5918.866925,0.000118,0.000118,6,0.000509,0,0,0,0.020988,MAGO NASHI (MAGO),MATERNAL EFFECT EMBRYO ARREST 63 (MEE63);HAPLESS 1 (HAP1);MAGO NASHI (MAGO),NA,Encodes a homologue of the exon junction complex (EJC) component MAGO that participates in intron-mediated enhancement of gene expression.,NA,,,"Spliceosome,RNA transport","Spliceosome,RNA transport","Spliceosome,RNA transport",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AT1G02160,1997,NA,0,20,32,1,1,10,0.233168,0.250122,0,8.90E-05,8.90E-05,2,0.000132,0,0,0,0.014831,,,NA,Cox19 family protein (CHCH motif);(source:Araport11),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AT1G02410,2534,NA,0,3,81,1,1,11,0.195347,0.2036,0,1.30E-05,1.30E-05,73,0.000119,0,0,0,0.001735,CYTOCHROME C OXIDASE 11 (COX11),CYTOCHROME C OXIDASE 11 (COX11),NA,"Encodes a member of the cytochrome c oxidase 11 protein family.  It is an integral mitochondrial protein and likely plays an important role as a mitochondrial chaperone in COX complex assembly, affecting plant growth and pollen germination.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AT1G02450,1646,NA,0,64,172,3,3,10,0.233851,0.251403,1557.192076,9.00E-05,9.00E-05,9,3.00E-04,0,0,0,0.016261,NIM1-INTERACTING 1 (NIMIN1), (NIMIN-1);NIM1-INTERACTING 1 (NIMIN1),NA,"NIMIN1 modulates PR gene expression according the following model: NPR1 forms a ternary complex with NIMIN1 and TGA  factors upon SAR induction that binds to a positive regulatory cis-element of the PR-1 promoter, termed LS7. This leads to PR-1 gene induction. NIMIN1 decreases transcriptional activation, possibly through its EAR motif, which results in fine-tuning of PR-1 gene expression.",NA,,,multi,multi,"Stress,Abiotic_biotic_stimulus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1
AT1G02680,2553,NA,0,254,561,3,3,10,0.221677,0.234675,784.497734,0.000156,0.000156,28,0.000269,0,0,0,0.00743,TBP-ASSOCIATED FACTOR 13 (TAF13),TBP-ASSOCIATED FACTOR 13 (TAF13),NA,Encodes a TBP-Associated Factor (TAF) that functions together with PRC2 in transcriptional regulation during seed development.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AT1G02690,596,NA,0,10,91,40,40,9,0.284204,0.316194,107354.19,0.0037,0.0037,73,0.002723,0,0.00641,5,0.094192,IMPORTIN ALPHA ISOFORM 6 (IMPA-6),IMPORTIN ALPHA ISOFORM 6 (IMPA-6),NA,Putative importin alpha isoform. When overexpressed can rescue the impa-4 decreased transformation susceptibility phenotype.,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AT1G02870,2516,NA,0,82,188,1,1,10,0.204355,0.213237,0,1.10E-05,1.10E-05,28,0.000132,0,0,0,0.002109,,,NA,nucleolar-like protein;(source:Araport11),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AT1G02920,893,NA,0,159,374,1,1,2,0.666667,0.75,0,0,0,37,0.000292,30,0,0,0.000553,GLUTATHIONE S-TRANSFERASE 7 (GSTF7),GLUTATHIONE S-TRANSFERASE 11 (GST11); (ATGSTF7); (ATGSTF8);ARABIDOPSIS GLUTATHIONE S-TRANSFERASE 11 (ATGST11);GLUTATHIONE S-TRANSFERASE 7 (GSTF7),NA,Encodes glutathione transferase belonging to the phi class of GSTs. Naming convention according to Wagner et al. (2002).,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AT1G02930,894,NA,0,159,374,2,2,1,1,1,1,0,0,37,0.000554,30,0,0,0.000994,GLUTATHIONE S-TRANSFERASE 6 (GSTF6),GLUTATHIONE S-TRANSFERASE 6 (GSTF6);ARABIDOPSIS GLUTATHIONE S-TRANSFERASE 1 (ATGST1);GLUTATHIONE S-TRANSFERASE (ATGSTF6);GLUTATHIONE S-TRANSFERASE 1 (GST1);EARLY RESPONSIVE TO DEHYDRATION 11 (ERD11);ARABIDOPSIS THALIANA GLUATIONE S-TRANSFERASE F3 (ATGSTF3),NA,Encodes glutathione transferase belonging to the phi class of GSTs. Naming convention according to Wagner et al. (2002).,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AT1G03040,129,NA,0,23,77,11,11,9,0.25163,0.269993,3559.874008,0.000191,0.000191,6,0.000748,0,0.090909,5,0.027405,,,NA,basic helix-loop-helix (bHLH) DNA-binding superfamily protein;(source:Araport11),NA,NA,NA,Transcription_factor,Transcription_factor,Transcription_factor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AT1G03130,354,NA,0,2,183,10,10,10,0.263604,0.287584,7342.363801,0.000431,0.000431,73,0.00066,0,0,0,0.049785,PHOTOSYSTEM I SUBUNIT D-2 (PSAD-2),PHOTOSYSTEM I SUBUNIT D-2 (PSAD-2),NA,Encodes a protein predicted by sequence similarity with spinach PsaD to be photosystem I reaction center subunit II (PsaD2),NA,,,photosynthesis,photosynthesis,photosynthesis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AT1G03140,1405,NA,0,3,151,7,7,10,0.254981,0.276019,4910.084104,0.000233,0.000233,73,5.00E-04,0,0.047619,1,0.030255,PRE-MRNA PROCESSING  FACTOR 18A (PRP18A),PRE-MRNA PROCESSING  FACTOR 18A (PRP18A),NA,"PRP18a is one of two paralogs (the other being PRP18b) which are highly similar to the step II splicing factors in yeast. Loss of function mutations show defects in alternative splicing, mostly intron retention events.",NA,NA,NA,RNA processing,RNA processing,RNA processing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AT1G03250,1965,NA,0,261,569,3,3,10,0.242354,0.261251,5400.158227,0.00015,0.00015,28,0.00032,0,0,0,0.021994,,,NA,R3H domain protein;(source:Araport11),NA,NA,NA,RNA processing,RNA processing,RNA processing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AT1G03360,2606,NA,0,110,250,1,1,2,0.666667,0.75,0,0,0,22,0.000292,16,0,0,0.000553,RIBOSOMAL RNA PROCESSING 4 (RRP4),RIBOSOMAL RNA PROCESSING 4 (RRP4);RIBOSOMAL RNA PROCESSING 4 (ATRRP4);SUPPRESSOR OF PAS2 2 (SOP2),NA,"Encodes a core subunit of the RNA exosome required for the processing of rRNA, several snoRNA and the degradation of aberrant transcripts.",NA,NA,NA,RNA processing,RNA processing,RNA processing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AT1G03457,1228,NA,0,18,50,2,2,9,0.206204,0.217007,402.577865,9.00E-06,9.00E-06,59,0.000203,0,0,0,0.003631,BRUNO-LIKE 2 (BRN2), (ATBRN2);BRUNO-LIKE 2 (BRN2),NA,RNA-binding (RRM/RBD/RNP motifs) family protein;(source:Araport11),NA,,,RNA processing,RNA processing,RNA processing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AT1G03600,221,NA,0,60,126,3,3,10,0.238918,0.254814,2427.241248,0.000762,0.000762,73,0.000243,0,0,0,0.016334, (PSB27), (PSB27),NA,PSB27 is a chloroplast lumen localized protein that is involved in adaptation to changes in light intensity.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
